"song_id","society_id","unusualness_region","regional_mean","society_mean","society_region_diff","nn_distance_km","nearest_phyloneighbour","n_neighbours_250","n_neighbours_500","n_neighbours_1000","u_ea","u_kinship","u_economy","u_housing","GlottoID","FamilyLevGlottocode","Region","Society_latitude"
3920,27215,-32.8096903875242,-44.1634458617767,-40.3609111602448,3.80253470153194,73.0707818275045,0.076029561,2,3,9,-27.0499375234143,-12.6626300084845,-10.855346923585,-5.16206655735152,"toba1269","guai1249","South America",-24.41
3921,27215,-36.7592981945521,-44.1634458617767,-40.3609111602448,3.80253470153194,73.0707818275045,0.076029561,2,3,9,-27.0499375234143,-12.6626300084845,-10.855346923585,-5.16206655735152,"toba1269","guai1249","South America",-24.41
3922,27215,-51.1371753723326,-44.1634458617767,-40.3609111602448,3.80253470153194,73.0707818275045,0.076029561,2,3,9,-27.0499375234143,-12.6626300084845,-10.855346923585,-5.16206655735152,"toba1269","guai1249","South America",-24.41
3923,27215,-44.9329580677186,-44.1634458617767,-40.3609111602448,3.80253470153194,73.0707818275045,0.076029561,2,3,9,-27.0499375234143,-12.6626300084845,-10.855346923585,-5.16206655735152,"toba1269","guai1249","South America",-24.41
3932,10814,-72.6675207696872,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
393,27028,-47.4520155779826,-48.5962067567524,-51.2482483589184,-2.65204160216601,410.002064417897,0.1218282666,0,2,24,-14.2843790448367,-7.45386938682099,-2.33593846528357,-3.93457740441421,"tibe1272","sino1245","South Asia",29.64
3933,10814,-33.4327926693533,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
3934,10814,-31.6394007822856,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
3935,10814,-40.2272622150065,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
3936,23981,-39.7947961182964,-49.10891039946,-51.341601931253,-2.23269153179305,775.421550000605,0.0321987864305,0,0,1,-14.288082261316,-11.6183929676528,-2.64432077702552,-1.03510446348666,"puka1242","aust1307","Oceania",-10.84
